,CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
5728,40369111,THE HYTES BAR,BROOKLYN,1082,ST JOHNS PLACE,11213,7187789564,American ,2015-06-09,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,A,2015-06-09,2015-08-14,Cycle Inspection / Initial Inspection
5746,40369139,PERGOLA DES ARTISTES,MANHATTAN,252,WEST   46 STREET                                  ,10036,2123027500,French,2015-04-03,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9.0,A,2015-04-03,2015-08-14,Cycle Inspection / Initial Inspection
5752,40369158,JODY'S CLUB,STATEN ISLAND,372,FOREST AVENUE                                     ,10301,7187276338,American ,2015-02-25,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,A,2015-02-25,2015-08-14,Cycle Inspection / Initial Inspection
5780,40369165,REIF'S TAVERN,MANHATTAN,302,EAST   92 STREET                                  ,10128,2124260519,American ,2015-03-26,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13.0,A,2015-03-26,2015-08-14,Cycle Inspection / Re-inspection
5811,40369213,WHITESTONE LANES,QUEENS,3005,WHITESTONE EXPRESSWAY                                                                               ,11354,7183536300,American ,2015-07-29,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,29.0,,,2015-08-14,Cycle Inspection / Initial Inspection
5859,40369262,JOHN'S PIZZERIA,QUEENS,8502,GRAND AVENUE                                      ,11373,7184577561,Pizza,2014-10-15,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,7.0,A,2014-10-15,2015-08-14,Cycle Inspection / Initial Inspection
5867,40369287,TWO STEPS DOWN,BROOKLYN,240,DE KALB AVENUE,11205,7183992020,American ,2014-08-01,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,25.0,,,2015-08-14,Cycle Inspection / Initial Inspection
5898,40369299,SEASHORE RESTAURANT,BRONX,591,CITY ISLAND AVE,10464,7188850300,Seafood,2015-05-06,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,9.0,A,2015-05-06,2015-08-14,Cycle Inspection / Initial Inspection
5928,40369400,WHITE HORSE TAVERN,MANHATTAN,25,BRIDGE STREET                                     ,10004,2126689046,American ,2015-08-10,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,71.0,,,2015-08-14,Cycle Inspection / Initial Inspection
5970,40369418,CAFFE REGGIO,MANHATTAN,119,MAC DOUGAL STREET                                 ,10012,2124759557,CafÌ©/Coffee/Tea,2015-06-29,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,7.0,A,2015-06-29,2015-08-14,Cycle Inspection / Re-inspection
6006,40369461,CAFE UN DEUX TROIS,MANHATTAN,123,WEST   44 STREET,10036,2123544148,French,2015-06-02,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,26.0,Z,2015-06-02,2015-08-14,Cycle Inspection / Re-inspection
6052,40369482,ARMANDO'S PIZZA,BROOKLYN,1366,PENNSYLVANIA AVENUE                               ,11239,7186428253,Pizza,2014-09-16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,2014-09-16,2015-08-14,Cycle Inspection / Initial Inspection
6079,40369495,DAN TEMPURA,MANHATTAN,2018,BROADWAY,10023,2128775255,Japanese,2014-10-14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5.0,A,2014-10-14,2015-08-14,Cycle Inspection / Initial Inspection
6098,40369521,KNICKERBOCKER BAR & GRILL,MANHATTAN,33,UNIVERSITY PLACE                                  ,10003,2122288490,American ,2015-06-09,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,12.0,A,2015-06-09,2015-08-14,Cycle Inspection / Initial Inspection
6128,40369535,MCDONALD'S,BROOKLYN,395,FLATBUSH AVENUE EXTENSION,11201,7185224988,Hamburgers,2015-03-17,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,12.0,A,2015-03-17,2015-08-14,Cycle Inspection / Initial Inspection
6140,40369580,EL POTE ESPANOL,MANHATTAN,718,2 AVENUE                                          ,10016,2128896680,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2015-06-03,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,2015-06-03,2015-08-14,Cycle Inspection / Re-inspection
6168,40369597,CAFE CAPRI,BROOKLYN,427,GRAHAM AVENUE                                     ,11211,7183835744,CafÌ©/Coffee/Tea,2014-07-31,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,A,2014-07-31,2015-08-14,Cycle Inspection / Initial Inspection
6180,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2015-02-19,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,13.0,A,2015-02-19,2015-08-14,Cycle Inspection / Initial Inspection
6236,40369608,THE RIVER CAFE,BROOKLYN,1,WATER STREET,11201,7185225200,American ,2015-06-27,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13.0,A,2015-06-27,2015-08-14,Cycle Inspection / Re-inspection
6250,40369619,MUDVILLE SALOON,MANHATTAN,126,CHAMBERS STREET,10007,2129640946,American ,2015-03-09,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,2015-03-09,2015-08-14,Cycle Inspection / Re-inspection
6269,40369641,JOHNNY'S REEF RESTAURANT,BRONX,2,CITY ISLAND AVE,10464,7188852086,Seafood,2015-05-06,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,26.0,,,2015-08-14,Cycle Inspection / Initial Inspection
6286,40369667,WHITE CASTLE,BROOKLYN,846,EMPIRE BOULEVARD,11213,7187563377,Hamburgers,2015-07-08,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,2015-08-14,Trans Fat / Re-inspection
6296,40369669,WHITE CASTLE,BRONX,2701,BOSTON POST ROAD                                                                                    ,10467,7182314978,Hamburgers,2015-05-05,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11.0,A,2015-05-05,2015-08-14,Cycle Inspection / Initial Inspection
6307,40369675,WHITE CASTLE,QUEENS,4302,QUEENS BOULEVARD,11104,7187862475,Hamburgers,2015-03-04,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,2015-03-04,2015-08-14,Cycle Inspection / Initial Inspection
6313,40369676,WHITE CASTLE,BROOKLYN,4202,FT HAMILTON PARKWAY                                                                                 ,11219,7184387550,Hamburgers,2014-12-09,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,8.0,A,2014-12-09,2015-08-14,Cycle Inspection / Initial Inspection
6319,40369716,FERDINANDO'S RESTAURANT,BROOKLYN,151,UNION STREET,11231,7188551545,Italian,2015-04-13,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7.0,A,2015-04-13,2015-08-14,Cycle Inspection / Initial Inspection
6326,40369724,MCDONALD'S,QUEENS,10615,71 AVENUE,11375,7187938181,Hamburgers,2015-05-13,Violations were cited in the following area(s).,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",Not Critical,4.0,A,2015-05-13,2015-08-14,Cycle Inspection / Initial Inspection
6349,40369759,NECTAR COFFEE SHOP,MANHATTAN,1022,MADISON AVENUE                                    ,10075,2125354115,American ,2015-03-04,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8.0,A,2015-03-04,2015-08-14,Cycle Inspection / Initial Inspection
6369,40369775,THE CUPPING ROOM,MANHATTAN,359,WEST BROADWAY,10013,2129252898,American ,2015-02-26,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,9.0,A,2015-02-26,2015-08-14,Cycle Inspection / Initial Inspection
6408,40369782,MCDONALD'S,BROOKLYN,701,UTICA AVENUE                                      ,11203,7187780023,Hamburgers,2015-05-20,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,2015-05-20,2015-08-14,Cycle Inspection / Initial Inspection
6429,40369810,PETE'S TAVERN,MANHATTAN,129,EAST   18 STREET,10003,2124737676,American ,2015-04-01,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,12.0,A,2015-04-01,2015-08-14,Cycle Inspection / Initial Inspection
6441,40369849,GINO'S PIZZERIA,QUEENS,6132,SPRINGFIELD BOULEVARD,11364,7182251475,Pizza/Italian,2014-09-25,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8.0,A,2014-09-25,2015-08-14,Cycle Inspection / Initial Inspection
6472,40369869,JIM BRADY'S RESTAURANT,MANHATTAN,75,MAIDEN LANE,10038,2124251300,Irish,2015-06-23,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,35.0,Z,2015-06-23,2015-08-14,Cycle Inspection / Re-inspection
6500,40369878,VILLA MOSCONI RESTAURANT,MANHATTAN,69,MACDOUGAL STREET                                  ,10012,2126730390,Italian,2014-09-22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13.0,A,2014-09-22,2015-08-14,Cycle Inspection / Initial Inspection
6517,40369895,P & K'S GRILL,BRONX,170,WEST  231 STREET                                  ,10463,3476027880,American ,2015-06-11,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,20.0,Z,2015-06-11,2015-08-14,Cycle Inspection / Re-inspection
6572,40369915,MCDONALD'S,BRONX,576581,BROADWAY                                                                                            ,10463,7187964447,Hamburgers,2015-04-29,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,2015-04-29,2015-08-14,Cycle Inspection / Initial Inspection
6598,40369928,REME RESTAURANT,MANHATTAN,4021,BROADWAY,10032,2129235452,American ,2015-03-13,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8.0,A,2015-03-13,2015-08-14,Cycle Inspection / Initial Inspection
6630,40369940,THE NEW AMITY RESTAURANT,MANHATTAN,1134,MADISON AVENUE,10028,2128613255,American ,2015-06-10,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,2015-06-10,2015-08-14,Cycle Inspection / Initial Inspection
6661,40369954,VOLARE RESTAURANT,MANHATTAN,147,WEST FOURTH STREET                                ,10012,2127772849,Italian,2015-02-05,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,A,2015-02-05,2015-08-14,Cycle Inspection / Initial Inspection
6685,40369958,SPARKS STEAK HOUSE,MANHATTAN,210,EAST   46 STREET                                  ,10017,2126874855,Steak,2015-03-11,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,12.0,A,2015-03-11,2015-08-14,Cycle Inspection / Initial Inspection
6702,40369983,THE DART INN,QUEENS,8318,PARSONS BOULEVARD,11432,7182911894,American ,2015-06-08,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,5.0,A,2015-06-08,2015-08-14,Cycle Inspection / Initial Inspection
6744,40370015,BAMONTE'S RESTAURANT,BROOKLYN,32,WITHERS ST,11211,7183848831,Italian,2015-04-03,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,7.0,A,2015-04-03,2015-08-14,Cycle Inspection / Re-inspection
6779,40370091,PIZZA TOWN,QUEENS,1827,COLLEGE POINT BOULEVARD,11356,7189392187,Pizza,2015-05-20,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,24.0,Z,2015-05-20,2015-08-14,Cycle Inspection / Re-inspection
6824,40370146,MCDONALD'S,MANHATTAN,427,10 AVENUE,10001,2125647115,Hamburgers,2014-10-20,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,9.0,A,2014-10-20,2015-08-14,Cycle Inspection / Initial Inspection
6831,40370150,JOHN MULLIGAN'S FIRESIDE PUB,BRONX,4272,KATONAH AVENUE,10470,7186553201,American ,2015-08-10,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,28.0,,,2015-08-14,Cycle Inspection / Initial Inspection
6861,40370167,BURGER KING,QUEENS,22210,NORTHERN BOULEVARD,11361,7182251695,Hamburgers,2015-05-28,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9.0,A,2015-05-28,2015-08-14,Cycle Inspection / Re-inspection
6892,40370168,EAR INN,MANHATTAN,326,SPRING STREET                                     ,10013,2122269060,American ,2014-12-16,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13.0,A,2014-12-16,2015-08-14,Cycle Inspection / Initial Inspection
6919,40370238,BURGER KING,QUEENS,6815,NORTHERN BOULEVARD,11377,7187794875,Hamburgers,2015-07-30,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,29.0,,,2015-08-14,Cycle Inspection / Initial Inspection
6948,40370239,BURGER KING,QUEENS,14474,NORTHERN BOULEVARD,11354,7184633917,Hamburgers,2015-02-18,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,A,2015-02-18,2015-08-14,Cycle Inspection / Initial Inspection
6970,40370342,GREENPOINT TAVERN,BROOKLYN,188,BEDFORD AVENUE                                    ,11249,7183849539,American ,2015-04-22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,27.0,Z,2015-04-22,2015-08-14,Cycle Inspection / Re-inspection
6982,40370356,MCDONALD'S,STATEN ISLAND,3267,RICHMOND AVENUE                                   ,10312,7189483800,Hamburgers,2015-04-27,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,2015-04-27,2015-08-14,Cycle Inspection / Initial Inspection
7001,40370425,TONY'S PIZZERIA,BROOKLYN,336,KNICKERBOCKER AVENUE                              ,11237,7184567020,Pizza/Italian,2015-07-13,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,2015-07-13,2015-08-14,Cycle Inspection / Re-inspection
7031,40370436,ROSSINI'S,MANHATTAN,108,EAST   38 STREET,10016,2126830135,Italian,2015-08-10,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8.0,A,2015-08-10,2015-08-14,Cycle Inspection / Initial Inspection
7058,40370463,THREE GUY'S RESTAURANT,MANHATTAN,960,MADISON AVENUE,10021,2126288108,American ,2015-05-14,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,7.0,A,2015-05-14,2015-08-14,Cycle Inspection / Initial Inspection
7081,40370497,CUCINA VIVOLO,MANHATTAN,138140,EAST   74 STREET                                                                                    ,10021,2127174700,Italian,2015-04-23,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,7.0,A,2015-04-23,2015-08-14,Cycle Inspection / Initial Inspection
7091,40370507,THE PLAYERS CLUB,MANHATTAN,16,GRAMERCY PARK SOUTH,10003,2124756116,American ,2015-06-26,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,27.0,Z,2015-06-26,2015-08-14,Cycle Inspection / Re-inspection
7138,40370519,DIVERS COVE,QUEENS,2901,FRANCIS LEWIS BOULEVARD,11358,7183529631,American ,2014-09-24,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11.0,A,2014-09-24,2015-08-14,Cycle Inspection / Initial Inspection
7157,40370638,TJK CAFE & RESTAURANT,QUEENS,24904,HORACE HARDING BOULEVARD,11362,7186311564,American ,2014-09-18,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,12.0,A,2014-09-18,2015-08-14,Cycle Inspection / Initial Inspection
7190,40370759,CAFE ESPANOL,MANHATTAN,172,BLEECKER STREET,10012,2125050657,Spanish,2015-07-29,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,35.0,,,2015-08-14,Cycle Inspection / Initial Inspection
7231,40370766,SMITH & WOLLENSKY,MANHATTAN,201,EAST   49 STREET                                  ,10017,2127531530,American ,2015-01-21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,A,2015-01-21,2015-08-14,Cycle Inspection / Initial Inspection
7254,40370781,MCDONALD'S,QUEENS,16011,WILLETS POINT BOULEVARD                                                                             ,11357,7187466063,Hamburgers,2015-06-22,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10.0,A,2015-06-22,2015-08-14,Cycle Inspection / Initial Inspection
7286,40370856,OLIVE TREE CAFE & COMEDY CELLAR,MANHATTAN,117,MAC DOUGAL STREET                                 ,10012,2122543480,American ,2015-02-03,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,10.0,A,2015-02-03,2015-08-14,Cycle Inspection / Initial Inspection
7296,40370910,PERKINS FAMILY RESTAURANT & BAKERY,STATEN ISLAND,1745,FOREST AVENUE                                     ,10303,7187208888,American ,2014-11-15,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,8.0,A,2014-11-15,2015-08-14,Cycle Inspection / Initial Inspection
7329,40370916,BURGER KING,QUEENS,25810,HILLSIDE AVENUE                                                                                     ,11004,7183476880,Hamburgers,2015-03-10,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12.0,A,2015-03-10,2015-08-14,Cycle Inspection / Re-inspection
7363,40370917,BURGER KING,BROOKLYN,9006,CHURCH AVENUE,11236,7184985574,Hamburgers,2014-12-02,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,A,2014-12-02,2015-08-14,Cycle Inspection / Initial Inspection
7377,40370935,TOKUBEI 86,MANHATTAN,314,EAST   86 STREET                                  ,10028,2126285334,Japanese,2015-05-21,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,10.0,A,2015-05-21,2015-08-14,Cycle Inspection / Re-inspection
7410,40370939,MANDUCATIS,QUEENS,1327,JACKSON AVENUE,11101,7187294602,Italian,2014-10-03,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,2014-10-03,2015-08-14,Cycle Inspection / Initial Inspection
7429,40370946,SIZZLER,QUEENS,10027,METROPOLITAN AVE                                                                                    ,11375,7185444376,American ,2015-05-13,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,6.0,A,2015-05-13,2015-08-14,Cycle Inspection / Initial Inspection
7486,40370994,MAMA LUCIA,BROOKLYN,1701,FOSTER AVENUE,11230,7184349858,Italian,2015-06-11,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,2015-06-11,2015-08-14,Cycle Inspection / Initial Inspection
7507,40371281,COLISEUM BAR RESTAURANT,MANHATTAN,312,WEST   58 STREET                                  ,10019,2129773523,American ,2015-06-01,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,22.0,Z,2015-06-01,2015-08-14,Cycle Inspection / Re-inspection
7520,40371313,MARIELLA PIZZA,MANHATTAN,180,3 AVENUE                                          ,10003,2127771220,Pizza,2014-08-16,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5.0,A,2014-08-16,2015-08-14,Cycle Inspection / Initial Inspection
7530,40371323,VINNY'S PIZZA,QUEENS,19901,32 AVENUE,11358,7183528447,Pizza,2015-02-10,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,2.0,A,2015-02-10,2015-08-14,Cycle Inspection / Initial Inspection
7535,40371454,WEST BANK CAFE,MANHATTAN,407,WEST   42 STREET,10036,2126956909,American ,2015-07-14,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,12.0,A,2015-07-14,2015-08-14,Cycle Inspection / Re-inspection
7567,40371588,THE FOUR SEASONS,MANHATTAN,99,EAST   52 STREET,10022,2127549494,American ,2015-06-22,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,11.0,A,2015-06-22,2015-08-14,Cycle Inspection / Initial Inspection
7591,40371614,LA BARAKA RESTAURANT,QUEENS,25509,NORTHERN BOULEVARD,11362,7184281461,French,2015-04-04,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,A,2015-04-04,2015-08-14,Cycle Inspection / Re-inspection
7614,40371684,DAIRY LUNCHEONETTE,BROOKLYN,4801,16 AVENUE                                         ,11204,7188518696,Jewish/Kosher,2014-09-18,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13.0,A,2014-09-18,2015-08-14,Cycle Inspection / Initial Inspection
7629,40371718,ZAFI'S LUNCHEONETTE,MANHATTAN,500,GRAND STREET                                      ,10002,2125332415,American ,2015-03-03,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,8.0,A,2015-03-03,2015-08-14,Cycle Inspection / Initial Inspection
7645,40371727,LA PALINA RESTAURANT,BROOKLYN,159,AVENUE O,11204,7182369764,Italian,2015-03-10,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,2015-03-10,2015-08-14,Cycle Inspection / Re-inspection
7692,40371771,SCHAFFER'S TAVERN,STATEN ISLAND,2055,VICTORY BOULEVARD,10314,7184949696,American ,2015-04-22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8.0,A,2015-04-22,2015-08-14,Cycle Inspection / Initial Inspection
7719,40371805,TY'S,MANHATTAN,114,CHRISTOPHER STREET                                ,10014,2127419641,American ,2015-05-12,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9.0,A,2015-05-12,2015-08-14,Cycle Inspection / Initial Inspection
7730,40371807,AUNT BELLA'S REST OF LITTLE NECK,QUEENS,4619,MARATHON PARKWAY,11362,7182254700,Italian,2015-07-14,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,11.0,A,2015-07-14,2015-08-14,Cycle Inspection / Re-inspection
7753,40371906,MARINER INN,BROOKLYN,3501,AVENUE S,11234,7183768058,American ,2015-03-19,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,A,2015-03-19,2015-08-14,Cycle Inspection / Initial Inspection
7764,40371988,NORTH SHORE DINER,QUEENS,19652,NORTHERN BLVD,11358,7182258000,American ,2015-06-04,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13.0,A,2015-06-04,2015-08-14,Cycle Inspection / Initial Inspection
7807,40372112,GREEN HOUSE CAFE,BROOKLYN,7717,THIRD AVENUE                                      ,11209,7188338200,American ,2014-11-19,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8.0,A,2014-11-19,2015-08-14,Cycle Inspection / Initial Inspection
